economy,year,elec_renouvelable_pct,country,region,objectif_ue_2030,ecart_objectif
AUT,2010,67.755820492633,Austria,Central,42.5,25.255820492633006
BEL,2010,8.44179729201239,Belgium,Western,42.5,-34.05820270798761
DEU,2010,17.6238311852413,Germany,Central,42.5,-24.8761688147587
DNK,2010,31.9833770778653,Denmark,Nordic,42.5,-10.5166229221347
ESP,2010,33.4905995151346,Spain,Southern,42.5,-9.009400484865402
FRA,2010,14.5810478721629,France,Western,42.5,-27.918952127837105
ITA,2010,26.5708511138405,Italy,Southern,42.5,-15.9291488861595
NLD,2010,9.38767502305693,Netherlands,Western,42.5,-33.11232497694307
POL,2010,7.4035723120445,Poland,Eastern,42.5,-35.0964276879555
SWE,2010,55.3279007458869,Sweden,Nordic,42.5,12.8279007458869
AUT,2011,67.5416255147159,Austria,Central,42.5,25.041625514715903
BEL,2011,10.5488928362589,Belgium,Western,42.5,-31.9511071637411
DEU,2011,21.1830252657297,Germany,Central,42.5,-21.3169747342703
DNK,2011,40.2539385165631,Denmark,Nordic,42.5,-2.246061483436897
ESP,2011,30.5731384019575,Spain,Southern,42.5,-11.9268615980425
FRA,2011,12.4090462949242,France,Western,42.5,-30.0909537050758
ITA,2011,28.058229036192,Italy,Southern,42.5,-14.441770963808
NLD,2011,10.8106753946456,Netherlands,Western,42.5,-31.6893246053544
POL,2011,8.3911451072468,Poland,Eastern,42.5,-34.1088548927532
SWE,2011,55.9888966457232,Sweden,Nordic,42.5,13.488896645723202
AUT,2012,76.0602592179387,Austria,Central,42.5,33.56025921793869
BEL,2012,14.2367248645394,Belgium,Western,42.5,-28.2632751354606
DEU,2012,23.7360619053531,Germany,Central,42.5,-18.7639380946469
DNK,2012,48.3304234527687,Denmark,Nordic,42.5,5.830423452768699
ESP,2012,30.4410803944105,Spain,Southern,42.5,-12.058919605589502
FRA,2012,15.7356680451587,France,Western,42.5,-26.7643319548413
ITA,2012,31.4795423637633,Italy,Southern,42.5,-11.0204576362367
NLD,2012,12.0898638045605,Netherlands,Western,42.5,-30.4101361954395
POL,2012,10.7618648196917,Poland,Eastern,42.5,-31.738135180308294
SWE,2012,59.0985284670481,Sweden,Nordic,42.5,16.598528467048098
AUT,2013,79.3682046930774,Austria,Central,42.5,36.8682046930774
BEL,2013,15.6365204268621,Belgium,Western,42.5,-26.8634795731379
DEU,2013,24.7569676577929,Germany,Central,42.5,-17.7430323422071
DNK,2013,45.9608542973922,Denmark,Nordic,42.5,3.4608542973922027
ESP,2013,40.4694798533773,Spain,Southern,42.5,-2.030520146622699
FRA,2013,17.9490525882191,France,Western,42.5,-24.5509474117809
ITA,2013,39.3087237669337,Italy,Southern,42.5,-3.191276233066297
NLD,2013,11.9116796221588,Netherlands,Western,42.5,-30.5883203778412
POL,2013,10.7618726455219,Poland,Eastern,42.5,-31.738127354478102
SWE,2013,54.0739916169385,Sweden,Nordic,42.5,11.5739916169385
AUT,2014,82.5402212781564,Austria,Central,42.5,40.040221278156395
BEL,2014,18.4604038872424,Belgium,Western,42.5,-24.0395961127576
DEU,2014,26.8208650442971,Germany,Central,42.5,-15.6791349557029
DNK,2014,55.8777032065623,Denmark,Nordic,42.5,13.377703206562302
ESP,2014,40.9223064477361,Spain,Southern,42.5,-1.5776935522639022
FRA,2014,17.4240636120725,France,Western,42.5,-25.0759363879275
ITA,2014,43.7427339034475,Italy,Southern,42.5,1.2427339034475011
NLD,2014,11.2692873314112,Netherlands,Western,42.5,-31.2307126685888
POL,2014,12.8766746930384,Poland,Eastern,42.5,-29.6233253069616
SWE,2014,55.8687061947248,Sweden,Nordic,42.5,13.3687061947248
AUT,2015,78.1278580070139,Austria,Central,42.5,35.6278580070139
BEL,2015,22.3222150491356,Belgium,Western,42.5,-20.1777849508644
DEU,2015,30.0329009777745,Germany,Central,42.5,-12.4670990222255
DNK,2015,65.4356254319281,Denmark,Nordic,42.5,22.935625431928106
ESP,2015,35.7115563292288,Spain,Southern,42.5,-6.788443670771201
FRA,2015,16.6912500883769,France,Western,42.5,-25.8087499116231
ITA,2015,38.993960981367,Italy,Southern,42.5,-3.506039018632997
NLD,2015,12.4230716884578,Netherlands,Western,42.5,-30.0769283115422
POL,2015,14.1941386167427,Poland,Eastern,42.5,-28.3058613832573
SWE,2015,63.3042896269246,Sweden,Nordic,42.5,20.8042896269246
AUT,2016,79.2284798266675,Austria,Central,42.5,36.728479826667495
BEL,2016,17.9650959044927,Belgium,Western,42.5,-24.5349040955073
DEU,2016,30.0192636163635,Germany,Central,42.5,-12.4807363836365
DNK,2016,60.2201191957561,Denmark,Nordic,42.5,17.720119195756098
ESP,2016,39.3497749034651,Spain,Southern,42.5,-3.1502250965349035
FRA,2016,18.3954832584027,France,Western,42.5,-24.1045167415973
ITA,2016,37.9132682465567,Italy,Southern,42.5,-4.586731753443303
NLD,2016,12.8331336077389,Netherlands,Western,42.5,-29.6668663922611
POL,2016,13.9911543193207,Poland,Eastern,42.5,-28.5088456806793
SWE,2016,57.205089417345,Sweden,Nordic,42.5,14.705089417345
AUT,2017,77.0241854074365,Austria,Central,42.5,34.524185407436505
BEL,2017,19.5541393920502,Belgium,Western,42.5,-22.9458606079498
DEU,2017,34.0095116739047,Germany,Central,42.5,-8.490488326095303
DNK,2017,70.2659725356199,Denmark,Nordic,42.5,27.765972535619895
ESP,2017,32.8920740155082,Spain,Southern,42.5,-9.6079259844918
FRA,2017,17.3813942159824,France,Western,42.5,-25.1186057840176
ITA,2017,35.7422506169084,Italy,Southern,42.5,-6.7577493830916
NLD,2017,14.8803844085792,Netherlands,Western,42.5,-27.6196155914208
POL,2017,14.4485202240929,Poland,Eastern,42.5,-28.0514797759071
SWE,2017,57.8892541856925,Sweden,Nordic,42.5,15.3892541856925
AUT,2018,78.1653963303554,Austria,Central,42.5,35.66539633035541
BEL,2018,24.2593851197377,Belgium,Western,42.5,-18.2406148802623
DEU,2018,35.6372215317549,Germany,Central,42.5,-6.8627784682450965
DNK,2018,68.3574368599559,Denmark,Nordic,42.5,25.857436859955897
ESP,2018,38.7586900441607,Spain,Southern,42.5,-3.7413099558392986
FRA,2018,20.4354555869103,France,Western,42.5,-22.0645444130897
ITA,2018,40.0899112209535,Italy,Southern,42.5,-2.4100887790464967
NLD,2018,16.5280689637084,Netherlands,Western,42.5,-25.9719310362916
POL,2018,12.9782873340822,Poland,Eastern,42.5,-29.5217126659178
SWE,2018,55.8097307221542,Sweden,Nordic,42.5,13.3097307221542
AUT,2019,78.1470754640731,Austria,Central,42.5,35.6470754640731
BEL,2019,21.7447994532485,Belgium,Western,42.5,-20.7552005467515
DEU,2019,40.577541904412,Germany,Central,42.5,-1.9224580955879984
DNK,2019,78.1718390025749,Denmark,Nordic,42.5,35.6718390025749
ESP,2019,37.7724998810643,Spain,Southern,42.5,-4.727500118935701
FRA,2019,20.6287000318508,France,Western,42.5,-21.8712999681492
ITA,2019,40.0521927630482,Italy,Southern,42.5,-2.447807236951803
NLD,2019,18.7762503294676,Netherlands,Western,42.5,-23.7237496705324
POL,2019,15.9761141059102,Poland,Eastern,42.5,-26.5238858940898
SWE,2019,58.7482708873836,Sweden,Nordic,42.5,16.248270887383597
AUT,2020,80.9966233909424,Austria,Central,42.5,38.4966233909424
BEL,2020,27.404335237499,Belgium,Western,42.5,-15.095664762501
DEU,2020,44.8396245103934,Germany,Central,42.5,2.3396245103933992
DNK,2020,81.6167850181008,Denmark,Nordic,42.5,39.1167850181008
ESP,2020,44.5277230391878,Spain,Southern,42.5,2.027723039187798
FRA,2020,24.3565688978964,France,Western,42.5,-18.1434311021036
ITA,2020,42.3735273463539,Italy,Southern,42.5,-0.1264726536460969
NLD,2020,26.5575690715294,Netherlands,Western,42.5,-15.9424309284706
POL,2020,18.3995140532264,Poland,Eastern,42.5,-24.1004859467736
SWE,2020,68.4807090146674,Sweden,Nordic,42.5,25.980709014667397
AUT,2021,79.7648759980814,Austria,Central,42.5,37.26487599808139
BEL,2021,23.5431574128442,Belgium,Western,42.5,-18.9568425871558
DEU,2021,39.8305665158005,Germany,Central,42.5,-2.6694334841995015
DNK,2021,78.958880484115,Denmark,Nordic,42.5,36.458880484115
ESP,2021,47.0149136749395,Spain,Southern,42.5,4.5149136749395
FRA,2021,22.8038733642766,France,Western,42.5,-19.6961266357234
ITA,2021,40.9735703240403,Italy,Southern,42.5,-1.5264296759596974
NLD,2021,33.1271998035524,Netherlands,Western,42.5,-9.3728001964476
POL,2021,17.4599985525884,Poland,Eastern,42.5,-25.0400014474116
SWE,2021,67.3919370423404,Sweden,Nordic,42.5,24.8919370423404
