economy,year,elec_renouvelable,country
AUT,2010,67.755820492633,Austria
BEL,2010,8.44179729201239,Belgium
DEU,2010,17.6238311852413,Germany
DNK,2010,31.9833770778653,Denmark
ESP,2010,33.4905995151346,Spain
FRA,2010,14.5810478721629,France
ITA,2010,26.5708511138405,Italy
NLD,2010,9.38767502305693,Netherlands
POL,2010,7.4035723120445,Poland
SWE,2010,55.3279007458869,Sweden
AUT,2011,67.5416255147159,Austria
BEL,2011,10.5488928362589,Belgium
DEU,2011,21.1830252657297,Germany
DNK,2011,40.2539385165631,Denmark
ESP,2011,30.5731384019575,Spain
FRA,2011,12.4090462949242,France
ITA,2011,28.058229036192,Italy
NLD,2011,10.8106753946456,Netherlands
POL,2011,8.3911451072468,Poland
SWE,2011,55.9888966457232,Sweden
AUT,2012,76.0602592179387,Austria
BEL,2012,14.2367248645394,Belgium
DEU,2012,23.7360619053531,Germany
DNK,2012,48.3304234527687,Denmark
ESP,2012,30.4410803944105,Spain
FRA,2012,15.7356680451587,France
ITA,2012,31.4795423637633,Italy
NLD,2012,12.0898638045605,Netherlands
POL,2012,10.7618648196917,Poland
SWE,2012,59.0985284670481,Sweden
AUT,2013,79.3682046930774,Austria
BEL,2013,15.6365204268621,Belgium
DEU,2013,24.7569676577929,Germany
DNK,2013,45.9608542973922,Denmark
ESP,2013,40.4694798533773,Spain
FRA,2013,17.9490525882191,France
ITA,2013,39.3087237669337,Italy
NLD,2013,11.9116796221588,Netherlands
POL,2013,10.7618726455219,Poland
SWE,2013,54.0739916169385,Sweden
AUT,2014,82.5402212781564,Austria
BEL,2014,18.4604038872424,Belgium
DEU,2014,26.8208650442971,Germany
DNK,2014,55.8777032065623,Denmark
ESP,2014,40.9223064477361,Spain
FRA,2014,17.4240636120725,France
ITA,2014,43.7427339034475,Italy
NLD,2014,11.2692873314112,Netherlands
POL,2014,12.8766746930384,Poland
SWE,2014,55.8687061947248,Sweden
AUT,2015,78.1278580070139,Austria
BEL,2015,22.3222150491356,Belgium
DEU,2015,30.0329009777745,Germany
DNK,2015,65.4356254319281,Denmark
ESP,2015,35.7115563292288,Spain
FRA,2015,16.6912500883769,France
ITA,2015,38.993960981367,Italy
NLD,2015,12.4230716884578,Netherlands
POL,2015,14.1941386167427,Poland
SWE,2015,63.3042896269246,Sweden
AUT,2016,79.2284798266675,Austria
BEL,2016,17.9650959044927,Belgium
DEU,2016,30.0192636163635,Germany
DNK,2016,60.2201191957561,Denmark
ESP,2016,39.3497749034651,Spain
FRA,2016,18.3954832584027,France
ITA,2016,37.9132682465567,Italy
NLD,2016,12.8331336077389,Netherlands
POL,2016,13.9911543193207,Poland
SWE,2016,57.205089417345,Sweden
AUT,2017,77.0241854074365,Austria
BEL,2017,19.5541393920502,Belgium
DEU,2017,34.0095116739047,Germany
DNK,2017,70.2659725356199,Denmark
ESP,2017,32.8920740155082,Spain
FRA,2017,17.3813942159824,France
ITA,2017,35.7422506169084,Italy
NLD,2017,14.8803844085792,Netherlands
POL,2017,14.4485202240929,Poland
SWE,2017,57.8892541856925,Sweden
AUT,2018,78.1653963303554,Austria
BEL,2018,24.2593851197377,Belgium
DEU,2018,35.6372215317549,Germany
DNK,2018,68.3574368599559,Denmark
ESP,2018,38.7586900441607,Spain
FRA,2018,20.4354555869103,France
ITA,2018,40.0899112209535,Italy
NLD,2018,16.5280689637084,Netherlands
POL,2018,12.9782873340822,Poland
SWE,2018,55.8097307221542,Sweden
AUT,2019,78.1470754640731,Austria
BEL,2019,21.7447994532485,Belgium
DEU,2019,40.577541904412,Germany
DNK,2019,78.1718390025749,Denmark
ESP,2019,37.7724998810643,Spain
FRA,2019,20.6287000318508,France
ITA,2019,40.0521927630482,Italy
NLD,2019,18.7762503294676,Netherlands
POL,2019,15.9761141059102,Poland
SWE,2019,58.7482708873836,Sweden
AUT,2020,80.9966233909424,Austria
BEL,2020,27.404335237499,Belgium
DEU,2020,44.8396245103934,Germany
DNK,2020,81.6167850181008,Denmark
ESP,2020,44.5277230391878,Spain
FRA,2020,24.3565688978964,France
ITA,2020,42.3735273463539,Italy
NLD,2020,26.5575690715294,Netherlands
POL,2020,18.3995140532264,Poland
SWE,2020,68.4807090146674,Sweden
AUT,2021,79.7648759980814,Austria
BEL,2021,23.5431574128442,Belgium
DEU,2021,39.8305665158005,Germany
DNK,2021,78.958880484115,Denmark
ESP,2021,47.0149136749395,Spain
FRA,2021,22.8038733642766,France
ITA,2021,40.9735703240403,Italy
NLD,2021,33.1271998035524,Netherlands
POL,2021,17.4599985525884,Poland
SWE,2021,67.3919370423404,Sweden
